題號,題目,A,B,C,D,E,答案
1, 中央銀行利用何種工具來影響貨幣供給？, 公開市場操作;改變重貼現率;改變存款準備率　, 徵稅;公開市場操作;改變重貼現率　, 徵稅;發行通貨;改變利率　, 公開市場操作;發行通貨;發行公債　,, A
2," 當一國物價水準居高不下時,央行應採取什麼因應政策？", 擴張信用　, 降低利率　, 提高存款準備率　, 降低房屋貸款利率　,, C
3," 當國內存在不景氣與失業的現象時,政府可採行的政策有很多,但並不包含：", 提高存款準備率　, 通過獎勵投資條例，對投資提供租稅獎勵　, 普遍性的減稅　, 在公開市場買進公債　,, A
4," 中央銀行宣佈調高存款準備率,如此一來會使廠商：", 減少生產與投資　, 增加生產與投資　," 增加投資,但降低生產　"," 增加生產,但降低投資　",, A
5," 中央銀行在公開市場買賣公債以調節貨幣供給,此政策稱為：", 重貼現政策　, 公開市場操作　, 公債政策　, 準備率政策　,, B
6, 為何實際上央行很少運用重貼現率政策來影響貨幣供給量？," 只能產生間接效果,其成功與否要取決於銀行的反應　"," 只能釋出或回收大筆資金,靈活度不足　"," 須經由理監事會議通過,手續繁雜　", 調高重貼現率將使央行放款減少而獲利衰退　,, A
7," 年關將近,通貨發行餘額創下新高記錄,中央銀行如欲減少貨幣供給數量,可以："," 降低存款準備率,同時降低重貼現率　"," 提高重貼現率,同時在公開市場買進公債　"," 提高存款準備率,同時在公開市場釋出持有之公債　"," 降低存款準備率,同時在公開市場釋出持有之公債　",, C
8, 中央銀行採行下列何種政策會使貨幣供給增加？, 在公開市場買進美元　, 宣佈調高重貼現率　, 在公開市場賣出持有之公債　, 宣佈調高存款準備率　,, A
9, 我們為何稱中央銀行為資金最終的貸放者？," 當商業銀行需要資金,但又無法由其他管道獲得,可向中央銀行請求融通　"," 當政府需要資金,但又無法由其他管道獲得,可向中央銀行請求融通　"," 當商業銀行倒閉時,中央銀行須概括承受其債權與債務　"," 當廠商無法由商業銀行取得資金時,可向中央銀行請求融通　",, A
10," 若中央銀行宣佈調高重貼現率,則：", 銀行更有意願向中央銀行請求資金融通　, 利率將下跌　, 貨幣供給將降低　, 廠商將更有意願投資　,, C
11," 若中央銀行在公開市場釋出大批債券,將導致：", 企業加速投資　, 減少家庭開支　, 債券價格上揚　, 股市爆量上漲　,, B
12, 下列敘述何者為真？, 利率的變化將影響人們持有通貨之意願　," 若貨幣市場存在超額需求,則債券市場也必存在超額需求　"," 若貨幣市場存在超額需求,則市場利率必高於均衡利率　"," 若民眾對貨幣的需求增加,則均衡利率下跌　",, A
13," 假設人們普遍相信未來物價膨脹率會提高,則人們會：", 降低其貨幣持有量　, 實質貨幣需求提高　," 工作時數增加,以累積更多儲蓄　", 不改變其貨幣持有量　,, A
14," 一般而言,央行如欲控制貨幣供給數量,最常使用的工具是：", 調整重貼現率　, 公開市場操作　, 調整存款準備率　, 外匯市場操作　,, B
15," 若中央銀行宣佈提高存款準備率,則我們可以預期："," 債券價格下跌,但利率上升　"," 利率下跌,但債券價格上升　", 利率與債券價格同步下跌　, 利率與債券價格同步上升　,, A
16," 為抑制物價膨脹可能惡化的傾向,政府應採取的對策是：", 提高進口關稅　, 降低利率　, 減少貨幣供給　, 降低稅率　,, C
17, 影響商業銀行向中央銀行借款意願的主因為何？, 商銀放款利率與央行重貼現率的差距　, 景氣好壞　, 銀行超額準備的多寡　, 逾期放款金額大小　,, A
18, 下列敘述何者為真？, 中央銀行提高存款準備率將使利率提高　, 銀行超額準備的多寡與貨幣供給無關　, 中央銀行降低重貼現率將使貨幣供給降低　, 中央銀行在公開市場釋出公債將導致利率下降　,, A
19," 若央行在公開市場釋出債券,則："," 市場上對債券有超額需求,故債券價格上升　"," 市場上對債券有超額供給,故債券價格下降　"," 市場上對債券有超額供給,故債券價格上升　"," 市場上對債券有超額需求,故債券價格下降　",, B
20," 當下列何種事件發生時,將使你預期未來利率可能上升？", 政府鼓勵商業銀行從事金融創新的活動　, 中央銀行宣佈將逐步調降存款準備率　," 高鐵動工在即,預計將需要五千億元的資金　"," 外資十分看好台股,將持續匯入資金　",, C
21," 發行通貨,保管外匯資產與制定並執行我國貨幣政策的是：", 財政部　, 經建會　, 特許銀行　, 中央銀行　,, D
22," 一般而言,中央銀行較常使用公開市場操作來影響貨幣供給量,其理由為何？", 風險小　, 可順便降低銀行經營成本　, 獲利性高　, 具有精確控制貨幣供給量的特性　,, D
23, 下列何種事件會增加貨幣供給數量？, 中央銀行宣佈提高法定存款準備率　, 中央銀行宣佈降低重貼現率　," 政府為籌措災後重建基金,宣佈增加發行五千億元的公債　", 外幣存款激增　,, B
24, 下列哪一個項目不會出現在中央銀行的資產負債表中？, 通貨　, 政府存款　, 支票存款　, 商銀轉存款　,, C
25," 在下列何種情況下,名目貨幣需求將上升？", 公債利率提高　, 民眾預期物價膨脹率提高　, 實質國民生產毛額提高　, 信用卡的普及　,, C
26," 一般民眾之所以會有貨幣的需求,主要是因為：", 持有貨幣無機會成本　, 持有貨幣無風險　, 持有貨幣報酬率高　, 貨幣可以用來交易　,, D
27," 中央銀行為避免物價膨脹,可採行下列哪一種政策？", 在公開市場買進公債　, 增加公共投資　, 提高法定存款準備率　, 降低重貼現率　,, C
28, 中央銀行在公開市場買進政府公債不會使：, 總合需求提高　, 利率下跌　, 總合供給下降　, 民間對耐久財購買的增加　,, C
29," 下列何者為中央銀行資產負債表中,屬於負債的項目？", 央行對商業銀行的放款　, 商業銀行轉存款　, 央行持有之日幣　, 央行持有之政府公債　,, B
30," 若中央銀行提高存款準備率,則下列何者必下降？", 通貨緊縮的壓力　, 利率　, 民間耐久財的購買　, 失業率　,, C
31," 當價格上升時,　"," 名目貨幣需求線右移,總合需求線右移　"," 名目貨幣需求線右移,總合需求線左移　"," 名目貨幣需求線右移,總合需求線沿線向上移動　"," 名目貨幣需求線左移,總合需求線左移"," 名目貨幣需求線左移,總合需求線沿線向下移動　", C
32, 貨幣供給透過何種管道影響總合需求？," 由利率變化改變投資及消費需求,進而影響總合需求　"," 由所得變化改變消費及出口,進而影響總合需求　"," 由利率變化改變儲蓄及總合供給,進而影響總合需求　"," 由利率變化改變出口及總合供給,進而影響總合需求"," 由所得變化改變利率及貨幣需求,進而影響總合需求　", A
33," 若中央銀行增加貨幣供給,但是同時政府減少支出,則　"," 利率下降,所得的變化無法確定　"," 利率下降,所得下降　"," 所得下降,利率的變化無法確定　"," 利率下降,所得增加"," 利率上升,所得增加　", A
34," 在古典學派的理論架構下,　", 假設工資具有僵固性　, 價格自由調整　, 充分就業非勞動市場的常態　, 有效需求不足　,, B
35," 從總體角度來看,當利率上升時,　"," 本期消費增加,未來消費減少　"," 本期消費不變,未來消費不變　"," 本期消費減少,未來消費不變　"," 本期消費增加,未來消費不變"," 本期消費減少,未來消費增加　", E
36, 下列何者不會影響到貨幣供給變動對總合需求的影響幅度？, 跨期替代效果的大小　, 利率對貨幣供給變化的敏感度　, 乘數效果的大小　, 投資對利率變化的敏感度, 失業率的大小　, E
37, 下列何者引起投資需求減少？, 利率上升　, 利率下降　, 政府實施投資租稅抵免　, 債券需求增加, 預期景氣復甦　, A
38, 下列何者不會使總合需求線移動？, 政府支出改變　, 賦稅的增減　, 國外淨需求改變　, 貨幣供給改變, 物價變動　, E
39, 下列何者不能解釋總合需求線的斜率為負？, 財富效果　, 投資者跨期替代效果　, 利率效果　, 跨國替代效果, 消費者跨期替代效果　, A
40," 當貨幣市場達成均衡時,　"," 若所得不變,則名目利率與物價呈現反向變動　", 名目貨幣供給等於實質貨幣需求　," 若名目利率不變,則所得與物價呈現同向變動　"," 若物價不變,則名目利率與所得呈現同向變動"," 若物價不變,則名目利率與所得呈現反向變動　", D
41, 下列敘述何者正確？, 總合需求線代表貨幣市場與商品勞務市場同時達成均衡　, 總合需求線表示物價與所得之間的正向關係　, 總合需求線為各商品需求水平加總而得　, 總合需求線表示利率與所得之間的負向關係, 總合需求線表示廠商單位成本與收益相等時的訂價　, A
42, 下列何者代表總合需求線的線上移動？, 物價上升　, 技術進步　, 投資增加　, 貨幣供給增加, 利率上升, A
43," 在採取擴張性貨幣政策時,下列何種總合供給線所引起的物價上漲幅度最大？", 正斜率線　, 負斜率線　, 垂直線　, 水平線　,, C
44, 下列何者使勞動供給線右移？, 退休年限下降　, 家計單位更加偏好休閒　," 國家徵兵範圍擴大,軍人人數增加　"," 家計單位選擇接受教育,延後進入職場", 家計單位更加喜好工作　, E
45," 由於教育普及,勞動生產力大幅提高,此時勞動市場有何變化？", 勞動需求線左移　, 勞動供給線左移　, 勞動市場無任何變化　, 勞動需求線右移, 勞動供給線右移　, D
46, 政府支出的融通手段不包括？, 發行公債　, 使用央行持有的外匯　, 賦稅融通　, 發行貨幣, 向外國舉債　, B
47, 下列何者不會使總合供給線移動？, 物價水準改變　, 油價下跌　, 教育水準提高　, 生產技術進步, 勞動市場發生結構性變化　, A
48," 1974年能源危機對總體經濟的影響,下列敘述何者有誤？", 物價上升　, 產出減少　, 總合供給下降　, 利率下降, 投資減少　, D
49, 下列何者不是供給面的衝擊？, 公教人員加薪　, 新生產技術的發明　, 能源危機　, 天然災害, 罷工　, A
50," 假設需求面不變,若有生產技術進步時,　"," 價格下降,產出下降　", 價格與產出均不變　," 價格上升,產出上升　"," 價格下降,產出上升　"," 價格上升,產出下降　", D
51, 下列何者為假設價格僵固的總體學說？, 貨幣學派　, 凱因斯學派　, 理性預期學派　, 新興古典學派, 古典學派　, B
52," 當整體經濟處於充分就業時,　"," 貨幣供給增加會影響所得,消費與投資　", 市場均衡產出不受總需求影響　, 總合需求線為垂直線　, 需求面管理政策有效, 總合供給線為正斜率的線　, B
53, 古典學派與凱因斯學派主要差異在於　, 政府政策的可信度　, 國際衝擊對國內經濟的影響　, 總合供給線的形狀　, 總合需求對利率變化的敏感度, 總合需求線的形狀　, C
54," 以下對於貨幣工資僵固假說的敘述,何者正確？"," 若實質工資低於勞動市場均衡,產生正斜率的總合供給線　"," 若實質工資低於勞動市場均衡,則產生失業　"," 若實質工資高於勞動市場均衡,則貨幣工資維持不變　"," 若實質工資高於勞動市場均衡,會產生垂直的總合供給線", 假設貨幣工資有向上調整的僵固性　, C
55," 在古典學派的經濟理論中,　", 總合供給線為水平線　, 總合需求線為垂直線　, 總合需求線為水平線　, 總合供給線為正斜率線, 總合供給線為垂直線　, E
56," 當總合供給線為水平線時,　", 為接近充分就業的供給線　, 為長期的總合供給線　, 代表市場價格可以自由調整　," 擴張性的需求管理政策只引起物價上漲,不影響實質產出"," 擴張性的需求管理政策可以提高實質產出,但不影響物價", E
57," 勞動供給線右移表示,　"," 家計單位在給定工資水準下,想要增加勞動量　"," 家計單位在給定工資水準下,想要減少勞動量　"," 家計單位在給定勞動量下,想要求更多的工資　"," 雇主在給定工資水準下,想要增加雇用人數"," 雇主在給定工資水準下,想要減少雇用人數　", A
58, 下列何者無法解釋正斜率的總合供給線？, 工資僵固性　, 民間資訊不完整　, 有未預料的貨幣供給變動　, 勞動生產力改變, 市場價格機能不健全　, D
59," 由勞動邊際產量等於實質工資,我們可以得出　", 勞動市場均衡條件　, 勞動需求線　, 投資需求線　, 商品市場均衡條件, 勞動供給線　, B
60, 緊縮性的財政政策指　, 增加政府支出及減稅　, 增加貨幣供給及降低利率　, 減少政府支出及減稅　, 減少貨幣供給及提高利率, 減少政府支出及增稅　, E
